Church Name,Street Address,Street Address Line 2,City,County,Postal / EirCode,Website,Denomination,Latitude,Longitude
Athlone Baptist Church,Westlodge,Battery Road,Athlone,Westmeath,N37 FF80,www.cherithabc.com,ABCI,53.424940,-7.944940
Balbriggan Baptist Church,St. George's National School,"Naul Road, Clogheder",Balbriggan,Dublin,K32 KC95,www.balbrigganbaptist.com,ABCI,53.607680,-6.184120
Ballycullen Community Church,St. Colmcilles School,Scholarstown Rd,Dublin 16,Dublin,D16 H298,www.ballycullencc.com,ABCI,53.275944,-6.276800
Belturbet Baptist Church,The Goods Store,The Station,Belturbet,Cavan,H14 DP03,https://belturbetbaptist.ie/,ABCI,54.099154,-7.446291
Blackrock Community Church,St. Andrew's College,55 Booterstown Ave,Williamstown,Dublin,A94 P2N7,blackrockchurch.ie,ABCI,53.306740,-6.188417
Brannockstown Baptist Church,Brannockstown Baptist Church,,Brannockstown,Kildare,W91 K004,brannockstownbaptist.com,ABCI,53.127213,-6.707423
Carrickmacross Baptist Church,Woodlands Christian Centre,Magheross Road,Carrickmacross,Monaghan,A81N Y04,www.carrickbaptist.ie,ABCI,53.977744,-6.719579
Carrigaline Baptist Church,Carrigaline Community Centre,Church Road,Carrigaline,Cork,P43T K70,www.carrigalinebaptist.org,ABCI,51.811670,-8.398610
Carrigtwohill Baptist Church,Carrigtwohill Community Centre,Main Street,Carrigtwohill,Cork,T45 X3N1,carrigtwohillbaptist.ie,ABCI,51.910550,-8.259964
Cavan Baptist Church,Corglass,Oldtown,Cavan,Cavan,H12 ND36,www.cavanbaptist.ie,ABCI,53.990830,-7.360560
Cork Baptist Church,46 MacCurtain Street,,Cork,Cork,T23K N76,www.corkbaptist.org,ABCI,51.903614,-8.468399
Douglas Baptist Church,Douglas Community School,Clermont Avenue,Douglas Road,Cork,T12H F77,douglasbaptist.ie,ABCI,51.878422,-8.437283
Dundalk Baptist Church,Ardee Terrace,Ardee Road,Dundalk,Louth,A91N A0D,www.dundalkbaptistchurch.org,ABCI,54.000000,-6.416670
Furbo Baptist Church,CARRAIG NA GREINE,,Furbo,Galway,H91 FK71,twitter.com/FurboChurch/media,ABCI,53.257500,-9.212500
Galway City Baptist Church,Knocknacarra National School,Western Distributor Road,Knocknacarra,Galway,H91R 3N1,www.galwaycitychurch.com,ABCI,53.258398,-9.127748
Grace Baptist Church (Killarney),St Olivers National School,Rookery Road,Killarney,Kerry,V93 W594,www.gracebaptistchurch.ie,ABCI,52.059937,-9.504427
