GUID,GEOGID,GEOGDESC,Reference Geography,LEA_GUID,LEA,LEA_ID,LEA_OFFICIAL,LA_GUID,LOCAL_AUTHORITY,LA_CODE,COUNTY,CONTAE,PROVINCE,NUTS3,NUTS3_NAME,NUTS2,NUTS2_NAME,NUTS1,NUTS1_NAME,Population
2ae19629-3f26-13a3-e055-000000000001,13190402,ATHLONE,CSO LEA-2022,2ae19629-3f26-13a3-e055-000000000001,ATHLONE,13190402,Y,2ae19629-1497-13a3-e055-000000000001,ROSCOMMON COUNTY COUNCIL,RN,ROSCOMMON,Ros Comáin,Connacht,IE042,West,IE04,Northern and Western,IE0,Ireland,21130
2ae19629-3f6a-13a3-e055-000000000001,1360422,GALWAY CITY EAST,CSO LEA-2022,2ae19629-3f6a-13a3-e055-000000000001,GALWAY CITY EAST,1360422,Y,2ae19629-1435-13a3-e055-000000000001,GALWAY CITY COUNCIL,GC,GALWAY,Gaillimh,Connacht,IE042,West,IE04,Northern and Western,IE0,Ireland,28091
2ae19629-3ef4-13a3-e055-000012000001,1340414,CORK CITY SOUTH WEST,CSO LEA-2022,2ae19629-3ef4-13a3-e055-000012000001,CORK CITY SOUTH WEST,1340414,Y,2ae19629-1434-13a3-e055-000000000001,CORK CITY COUNCIL,CC,CORK,Corcaigh,Munster,IE053,South-West,IE05,Southern,IE0,Ireland,51063
2ae19629-3f5c-13a3-e055-000000000001,13260426,NORTH INNER CITY,CSO LEA-2022,2ae19629-3f5c-13a3-e055-000000000001,NORTH INNER CITY,13260426,Y,2ae19629-1433-13a3-e055-000000000001,DUBLIN CITY COUNCIL,DC,DUBLIN,Baile Átha Cliath,Leinster,IE061,Dublin,IE06,Eastern and Midland,IE0,Ireland,74708
3a625b75-d7a9-467e-be55-18381818d65b,13260403,CASTLEKNOCK,CSO LEA-2022,3a625b75-d7a9-467e-be55-18381818d65b,CASTLEKNOCK,13260403,N,2ae19629-14a0-13a3-e055-000000000001,FINGAL COUNTY COUNCIL,FL,DUBLIN,Baile Átha Cliath,Leinster,IE061,Dublin,IE06,Eastern and Midland,IE0,Ireland,47149
2ae19629-3efc-13a3-e055-000000000001,13260405,STILLORGAN,CSO LEA-2022,2ae19629-3efc-13a3-e055-000000000001,STILLORGAN,13260405,Y,2ae19629-149f-13a3-e055-000000000001,DUN LAOGHAIRE-RATHDOWN COUNTY COUNCIL,DR,DUBLIN,Baile Átha Cliath,Leinster,IE061,Dublin,IE06,Eastern and Midland,IE0,Ireland,33196
2ae19629-3f35-13a3-e055-000000000001,13220422,WATERFORD CITY EAST,CSO LEA-2022,2ae19629-3f35-13a3-e055-000000000001,WATERFORD CITY EAST,13220422,Y,2ae19629-149a-13a3-e055-000000000001,WATERFORD CITY AND COUNTY COUNCIL,WD,WATERFORD,Port Láirge,Munster,IE052,South-East,IE05,Southern,IE0,Ireland,24397
2ae19629-3ef4-13a3-e055-997550000001,13140404,DROGHEDA URBAN,CSO LEA-2022,2ae19629-3ef4-13a3-e055-997550000001,DROGHEDA URBAN,13140404,Y,2ae19629-1491-13a3-e055-000000000001,LOUTH COUNTY COUNCIL,LH,LOUTH,Lú,Leinster,IE062,Mid-East,IE06,Eastern and Midland,IE0,Ireland,28537
2ae19629-3ef6-13a3-e055-000000000001,13250404,ARKLOW,CSO LEA-2022,2ae19629-3ef6-13a3-e055-000000000001,ARKLOW,13250404,Y,2ae19629-149e-13a3-e055-000000000001,WICKLOW COUNTY COUNCIL,WW,WICKLOW,Cill Mhantáin,Leinster,IE062,Mid-East,IE06,Eastern and Midland,IE0,Ireland,27866
2ae19629-3f42-13a3-e055-000000000001,1340407,SKIBBEREEN-WEST CORK,CSO LEA-2022,2ae19629-3f42-13a3-e055-000000000001,SKIBBEREEN-WEST CORK,1340407,Y,2ae19629-14a3-13a3-e055-000000000001,CORK COUNTY COUNCIL,CK,CORK,Corcaigh,Munster,IE053,South-West,IE05,Southern,IE0,Ireland,32971
2ae19629-3f08-13a3-e055-000000000001,13120401,ADARE-RATHKEALE,CSO LEA-2022,2ae19629-3f08-13a3-e055-000000000001,ADARE-RATHKEALE,13120401,Y,2ae19629-148f-13a3-e055-000000000001,LIMERICK CITY AND COUNTY COUNCIL,LK,LIMERICK,Luimneach,Munster,IE051,Mid-West,IE05,Southern,IE0,Ireland,29311
2ae19629-3f5d-13a3-e055-000000000001,13260427,CLONTARF,CSO LEA-2022,2ae19629-3f5d-13a3-e055-000000000001,CLONTARF,13260427,Y,2ae19629-1433-13a3-e055-000000000001,DUBLIN CITY COUNCIL,DC,DUBLIN,Baile Átha Cliath,Leinster,IE061,Dublin,IE06,Eastern and Midland,IE0,Ireland,56957
2ae19629-3f37-13a3-e055-000000000001,13230401,MOATE,CSO LEA-2022,2ae19629-3f37-13a3-e055-000000000001,MOATE,13230401,Y,2ae19629-149b-13a3-e055-000000000001,WESTMEATH COUNTY COUNCIL,WH,WESTMEATH,An Iarmhí,Leinster,IE063,Midlands,IE06,Eastern and Midland,IE0,Ireland,20385
2ae19629-3ef4-13a3-e055-000000044001,1330404,KILRUSH,CSO LEA-2022,2ae19629-3ef4-13a3-e055-000000044001,KILRUSH,1330404,Y,2ae19629-14a2-13a3-e055-000000000001,CLARE COUNTY COUNCIL,CE,CLARE,An Clár,Munster,IE051,Mid-West,IE05,Southern,IE0,Ireland,22289
2ae19629-3f0a-13a3-e055-000000000001,13120420,LIMERICK CITY WEST,CSO LEA-2022,2ae19629-3f0a-13a3-e055-000000000001,LIMERICK CITY WEST,13120420,Y,2ae19629-148f-13a3-e055-000000000001,LIMERICK CITY AND COUNTY COUNCIL,LK,LIMERICK,Luimneach,Munster,IE051,Mid-West,IE05,Southern,IE0,Ireland,38654
