UrbanZone,County,Population
Bearna,Galway,2336
Ardee,Louth,5478
Ballinamore,Leitrim,1112
Ratoath,Meath,10077
O'Briensbridge-Montpelier,Clare,451
Inishannon,Cork,1043
Swanlinbar,Cavan,222
Castlecomer,Kilkenny,1496
Ballyragget,Kilkenny,1116
Bridge End,Donegal,373
Termonfeckin,Louth,1983
Athlone,Westmeath,22869
Ballinspittle,Cork,369
Emo,Laois,283
Crossbarry,Cork,399
Fermoy,Cork,6720
Celbridge,Kildare,20601
Milltown,Galway,372
Tullaghan,Leitrim,293
Golden,Tipperary,362
Garristown,Dublin,619
Kilmihil,Clare,472
Annayalla,Monaghan,205
Gortnahoo,Tipperary,321
Adare,Limerick,1224
Nobber,Meath,404
Malin,Donegal,154
Kilmeage,Kildare,1054
Tipperary,Tipperary,5387
Burnfoot,Donegal,413
Mountcharles,Donegal,652
Myrtleville,Cork,965
Monard,Tipperary,244
Kenmare,Kerry,2566
Newtownsandes,Kerry,378
Annagassan,Louth,189
Kinnitty,Offaly,270
Cork city and suburbs,Cork,222526
Miltown Malbay,Clare,921
Glencullen,Dublin,376
Shillelagh,Wicklow,390
Multyfarnham,Westmeath,460
Kilcolgan,Galway,194
Clonard,Meath,364
Knocklong,Limerick,229
Jenkinstown,Louth,416
Ballyhaunis,Mayo,2773
Kilcock,Kildare,8674
Keenagh,Longford,753
Shrule,Mayo,362
Ballycannan,Clare,629
Rathard-Aherla,Cork,562
Kingscourt,Cavan,2955
Castlegregory,Kerry,370
Kilkenny,Kilkenny,27184
Bray,Wicklow,33512
Doonbeg,Clare,279
Louth,Louth,717
Delvin,Westmeath,714
Knocknagree,Cork,213
Kilmore Quay,Wexford,447
Rann Na Feirste,Donegal,431
Tievebane,Donegal,495
Rathmullan,Donegal,528
Newtowncunningham,Donegal,1192
Borris,Carlow,702
Portumna,Galway,1690
Tramore,Waterford,11277
Mullagh,Cavan,1651
Ballysadare,Sligo,1747
Carlingford,Louth,1528
Kilmacanogue,Wicklow,1240
Fethard,Wexford,1738
An Cheathrú Rua,Galway,725
Oughterard,Galway,1846
Cluain Bú,Galway,484
Laytown-Bettystown-Mornington-Donacarney,Meath,15642
Rosslare,Wexford,1795
Carrigaline,Cork,18239
Baltimore,Cork,414
Dromahair,Leitrim,939
Castleblayney,Monaghan,3926
Irishtown,Mayo,182
Castletownbere,Cork,999
Newtown,Cork,423
Creeslough,Donegal,398
Rathcoole,Dublin,218
Ballylinan,Laois,1167
Macroom,Cork,4096
Gort An Choirce,Donegal,375
Freemount,Cork,257
Passage West-Monkstown,Cork,6051
Drumlish,Longford,1124
Ballintober,Roscommon,199
Oranmore,Galway,5819
Newport,Mayo,2183
Johnstown,Kilkenny,1320
Bantry,Cork,2929
Redcross,Wicklow,256
Glassan,Westmeath,218
Knockbridge,Louth,759
Kinnegad,Westmeath,3064
Ballinalack,Westmeath,161
Athgarvan,Kildare,1193
Kill,Kildare,349
Clonlara,Clare,724
Campile,Wexford,371
Broadford,Limerick,294
Malahide,Dublin,18608
Drogheda,Louth,44135
Mountrath,Laois,2070
Ballybofey-Stranorlar,Donegal,5406
Dundalk,Louth,43112
Beaufort,Kerry,273
Loch An Iúir,Donegal,412
Shannon,Clare,10256
Clogherhead,Louth,2275
Newcastle,Wicklow,4526
Stratford,Wicklow,211
Kinvarra,Galway,721
Sneem,Kerry,386
Broadford,Limerick,231
Boherbue,Cork,422
Castleisland,Kerry,2536
Smithborough,Monaghan,495
Kilmacthomas,Waterford,891
Cloghan,Offaly,654
Ladysbridge,Cork,809
Skibbereen,Cork,2903
Castlelyons,Cork,428
Cill Rónáin,Galway,234
Borrisokane,Tipperary,1117
Lifford,Donegal,1613
Ballindrait,Donegal,100
Lyre,Cork,169
Kilbeggan,Westmeath,1575
Rathnew,Wicklow,3482
Manor Kilbride,Wicklow,194
Ballycumber,Offaly,216
Oldcastle,Meath,1409
Patrickswell,Limerick,848
Askeaton,Limerick,1236
Watergrasshill,Cork,1840
Naas,Kildare,26180
Kanturk,Cork,2803
Aughrim,Wicklow,1437
Doon,Limerick,651
Keshcarrigan,Leitrim,238
Inagh,Clare,228
Enniscrone,Sligo,1291
Balla,Mayo,860
Kilsheelan,Tipperary,837
Anagaire,Donegal,309
Virginia,Cavan,3211
Ballylongford,Kerry,415
Keel-Dooagh,Mayo,567
Rathdowney,Laois,1368
Athenry,Galway,4603
Clonygowan,Offaly,308
Laghy,Donegal,176
Ballinakill,Laois,462
Claremorris,Mayo,3857
Kildangan,Kildare,546
Ashford,Wicklow,1892
Kilmacow,Kilkenny,671
Whitegate,Cork,181
Killarney,Kerry,14412
Coolgreany,Wexford,395
Banagher,Offaly,1907
Ballyshannon,Donegal,2246
Buttevant,Cork,1080
Milltown,Galway,1118
Legan,Longford,346
Summerhill,Meath,947
Cahirciveen,Kerry,1297
Newtownforbes,Longford,851
Portroe,Tipperary,459
Lusk,Dublin,8806
